Distillation Curve Interconversion Results

Density (kg/m³):,800.0
VABP (°F):,407.62
MeABP (°F):,399.89
Watson K:,11.87

Vol %,D86 (°C),D2887 (°C),TBP API (°C)
0,160.00,133.63,128.97
5,169.35,150.31,146.95
10,176.70,162.99,160.57
15,181.84,171.23,169.42
20,186.03,177.74,176.43
25,189.70,183.36,182.41
30,193.30,188.95,188.18
35,196.79,194.64,193.78
40,200.03,200.05,198.91
45,203.24,205.25,203.87
50,206.70,210.30,208.96
55,210.42,215.04,214.15
60,214.30,219.52,219.32
65,218.40,224.09,224.62
70,222.80,229.11,230.23
75,227.56,234.97,236.45
80,232.68,241.44,243.15
85,238.14,247.99,249.79
90,243.90,254.06,255.85
95,249.93,259.49,261.00
100,256.20,264.55,266.02
